civil_firm,year,patents,log_rd_lag2,jaffe_prox,rd_x_jaffe,post_2016
FORD_OTOSAN,2010,39,5.521460917862246,0.332,1.8331250247302657,0
FORD_OTOSAN,2011,27,5.521460917862246,0.332,1.8331250247302657,0
FORD_OTOSAN,2012,12,5.648974238161206,0.332,1.8754594470695205,0
FORD_OTOSAN,2013,14,5.800304041646823,0.332,1.9257009418267452,0
FORD_OTOSAN,2014,22,6.001909804969521,0.332,1.992634055249881,0
FORD_OTOSAN,2015,68,6.232251533594787,0.332,2.0691075091534694,0
FORD_OTOSAN,2016,148,6.477895014039251,0.332,2.1506611446610315,1
FORD_OTOSAN,2017,202,6.706617807930542,0.332,2.2265971122329398,1
FORD_OTOSAN,2018,0,6.937993462042747,0.332,2.3034138293981923,1
FORD_OTOSAN,2019,4,7.154380954443551,0.332,2.375254476875259,1
FORD_OTOSAN,2020,5,7.335242771124794,0.332,2.4353006000134316,1
FORD_OTOSAN,2021,2,7.49041772636681,0.332,2.4868186851537812,1
FORD_OTOSAN,2022,1,7.593323814018532,0.332,2.520983506254153,1
FORD_OTOSAN,2023,1,7.68634594135955,0.332,2.551866852531371,1
FORD_OTOSAN,2024,9,7.812459141604372,0.332,2.593736435012652,1
TURKCELL,2010,0,5.521460917862246,0.476,2.628215396902429,0
TURKCELL,2011,1,5.521460917862246,0.476,2.628215396902429,0
TURKCELL,2012,0,5.648974238161206,0.476,2.688911737364734,0
TURKCELL,2013,0,5.800304041646823,0.476,2.7609447238238873,0
TURKCELL,2014,0,6.001909804969521,0.476,2.8569090671654918,0
TURKCELL,2015,4,6.232251533594787,0.476,2.966551729991118,0
TURKCELL,2016,13,6.477895014039251,0.476,3.083478026682683,1
TURKCELL,2017,1,6.706617807930542,0.476,3.1923500765749377,1
TURKCELL,2018,104,6.937993462042747,0.476,3.3024848879323474,1
TURKCELL,2019,100,7.154380954443551,0.476,3.40548533431513,1
TURKCELL,2020,64,7.335242771124794,0.476,3.491575559055402,1
TURKCELL,2021,484,7.49041772636681,0.476,3.5654388377506017,1
TURKCELL,2022,1,7.593323814018532,0.476,3.614422135472821,1
TURKCELL,2023,39,7.68634594135955,0.476,3.6587006680871457,1
TURKCELL,2024,77,7.812459141604372,0.476,3.7187305514036813,1
ARCELIK,2010,24,5.521460917862246,0.1,0.5521460917862246,0
ARCELIK,2011,27,5.521460917862246,0.1,0.5521460917862246,0
ARCELIK,2012,12,5.648974238161206,0.1,0.5648974238161206,0
ARCELIK,2013,12,5.800304041646823,0.1,0.5800304041646823,0
ARCELIK,2014,29,6.001909804969521,0.1,0.6001909804969521,0
ARCELIK,2015,20,6.232251533594787,0.1,0.6232251533594787,0
ARCELIK,2016,134,6.477895014039251,0.1,0.6477895014039251,1
ARCELIK,2017,130,6.706617807930542,0.1,0.6706617807930542,1
ARCELIK,2018,38,6.937993462042747,0.1,0.6937993462042747,1
ARCELIK,2019,11,7.154380954443551,0.1,0.7154380954443551,1
ARCELIK,2020,18,7.335242771124794,0.1,0.7335242771124795,1
ARCELIK,2021,5,7.49041772636681,0.1,0.749041772636681,1
ARCELIK,2022,2,7.593323814018532,0.1,0.7593323814018533,1
ARCELIK,2023,7,7.68634594135955,0.1,0.768634594135955,1
ARCELIK,2024,33,7.812459141604372,0.1,0.7812459141604373,1
VESTEL,2010,3,5.521460917862246,0.185,1.0214702698045155,0
VESTEL,2011,1,5.521460917862246,0.185,1.0214702698045155,0
VESTEL,2012,1,5.648974238161206,0.185,1.0450602340598232,0
VESTEL,2013,0,5.800304041646823,0.185,1.0730562477046621,0
VESTEL,2014,0,6.001909804969521,0.185,1.1103533139193613,0
VESTEL,2015,0,6.232251533594787,0.185,1.1529665337150354,0
VESTEL,2016,1,6.477895014039251,0.185,1.1984105775972613,1
VESTEL,2017,760,6.706617807930542,0.185,1.2407242944671502,1
VESTEL,2018,42,6.937993462042747,0.185,1.2835287904779082,1
VESTEL,2019,45,7.154380954443551,0.185,1.3235604765720568,1
VESTEL,2020,43,7.335242771124794,0.185,1.3570199126580869,1
VESTEL,2021,29,7.49041772636681,0.185,1.3857272793778599,1
VESTEL,2022,18,7.593323814018532,0.185,1.4047649055934284,1
VESTEL,2023,10,7.68634594135955,0.185,1.4219739991515166,1
VESTEL,2024,16,7.812459141604372,0.185,1.4453049411968089,1
