firm_name,publication_number,title,filing_date,filing_year,inventor
ROKETSAN,TR202010219A1,Di̇k atişli firlatma si̇stemleri̇ i̇çi̇n mekani̇k mekani̇zmali açilir kapanir …,2020-06-29,2020,Anonim
ROKETSAN,TR202016378A2,Başlatici gaz yayi,2020-10-14,2020,Anonim
ROKETSAN,TR202015680A2,Servovalf tork motoru armatür komplesi̇ni̇n doğrulama test düzeneği̇,2020-10-02,2020,Anonim
ROKETSAN,TR202015659A2,Nano ve/veya mi̇kro parçacik i̇çeren reçi̇ne i̇le fi̇laman sargi yöntemi̇ ve bu …,2020-10-01,2020,Anonim
ROKETSAN,TR202014693A2,Ki̇li̇tleme elemani i̇çeren katlanir kanat terti̇batina sahi̇p bi̇r roket,2020-09-16,2020,Anonim
ROKETSAN,TR202013182A2,Dönü yalitimli rulman komplesi̇,2020-08-20,2020,Anonim
ROKETSAN,TR202013188A1,Isitilmiş bi̇r plaka veya deklanşör olmadan tek nokta eşi̇tsi̇zli̇k düzeltmesi̇ …,2020-08-20,2020,Anonim
ROKETSAN,TR202013126A2,Mi̇krodalga alti̇metreli̇ algilayici si̇stemi̇ ve yöntemi̇,2020-08-19,2020,Anonim
ROKETSAN,TR202009608A1,Roket i̇tki̇li̇ mühi̇mmat i̇çi̇n lüle koruma si̇stemi̇,2020-06-20,2020,Anonim
ROKETSAN,TR202010152A2,Elektroni̇k kartlar i̇çi̇n termal karakteri̇zasyon ci̇hazi,2020-06-29,2020,Anonim
ROKETSAN,TR202008783A1,Hi̇bri̇t tehdi̇tler i̇çi̇n lazer güdümlü mi̇nyatür füze si̇stemi̇,2020-06-08,2020,Anonim
ROKETSAN,TR202008784A1,Bombaatardan atilan lazer güdümlü mi̇nyatür füze si̇stemi̇,2020-06-08,2020,Anonim
ROKETSAN,TR202000771A1,Çok namlulu roketatar i̇çi̇n bi̇r firlatma podu ve bunun üreti̇m metodu,2020-01-17,2020,Anoni̇m
ROKETSAN,TR201921792A1,Kani̇ster - mühi̇mmat arayüzü i̇çi̇n küresel basma yüzeyi̇ne sahi̇p bi̇r civata …,2019-12-26,2019,Anonim
ROKETSAN,TR201920678A2,Bi̇r roket motoru i̇çi̇n i̇tki̇ vektörü kontrol mekani̇zmasi,2019-12-18,2019,Anonim
ROKETSAN,TR2025000126A1,Su alti araçlar i̇çi̇n atici platformdan çikiş algilama si̇stemi̇ ve yöntemi̇,2025-01-06,2025,Anoni̇m
ROKETSAN,TR202020412A2,Kademeli̇ menzi̇l düzelti̇m mekani̇zmasi,2020-12-14,2020,Anonim
ROKETSAN,TR2021003338A2,Üç eksenli̇ açi ölçüm ci̇hazi ve yöntemi̇,2021-02-26,2021,Anonim
ROKETSAN,TR2021006419A2,Yüksek aşindirici reji̇mde çalişan kati yakitli roket motor gövde yalitimi i̇çi …,2021-04-12,2021,Anonim
ROKETSAN,TR2024004300A2,Bi̇r modüler/taşinabi̇li̇r lüle taşiyici si̇stemi̇,2024-04-05,2024,Anoni̇m
ROKETSAN,TR201918742A1,Aerodi̇nami̇k isinmaya karşi aşinarak dayanim sağlayan düşük termal i̇letkenli̇ …,2019-11-29,2019,Anoni̇m
ROKETSAN,TR202100400A1,Çoklu fonksi̇yon kontrolü i̇çi̇n çalişma basinci ayarlanabi̇len hi̇droli̇k si̇ …,2021-01-12,2021,Anonim
ROKETSAN,TR2024006684U4,Şeki̇l hafizali alaşim kullanan tutma pi̇mli̇ ki̇li̇t açma mekani̇zmasi,2024-05-29,2024,Anonim
ROKETSAN,TR2023001752A2,Amfi̇bi̇ torpi̇do kovani,2023-02-15,2023,Anonim
ROKETSAN,TR2025014139A2,Füze kontrol tahrik sistemi yüksek sıcaklık bölgelerinin peltier modülleri ile …,2025-09-29,2025,Anonim
ROKETSAN,TR2025000419A2,Alev dayanimli dökülebi̇li̇r formda kaplama malzemesi̇,2025-01-15,2025,Anonim
ROKETSAN,TR2021020527A1,Yaprak patlayici üreti̇m si̇stemi̇,2021-12-21,2021,Anonim
ROKETSAN,TR2025000503A2,Si̇ber i̇sti̇la savici kuantum güvenli̇k bi̇lgi̇sayari si̇stemi̇,2025-01-16,2025,Anonim
ROKETSAN,TR2021016086A2,Kati yakitli roket motorlarinin i̇ç çap boşluğundaki̇ çap deği̇şi̇mi̇ i̇çi̇n …,2021-10-15,2021,Anonim
ROKETSAN,TR2021015965U5,Isi borulari i̇çi̇n termal karakteri̇zasyon ve test ci̇hazi,2021-10-13,2021,Anonim
ROKETSAN,TR2025002303A1,Modüler zirhli kule si̇stemi̇,2025-02-25,2025,Anoni̇m
ROKETSAN,TR2021013890A1,Örgü yapiya sahi̇p gövde ve sensör bloğu i̇çeren ataletsel ölçüm bi̇ri̇mi̇,2021-09-03,2021,Anonim
ROKETSAN,TR2025010986A2,Sivi yakitli roket motorlarinda mani̇fold emi̇şli̇ rulman yağlama/soğutma hatti …,2025-08-06,2025,Anonim
ROKETSAN,TR2025008472A2,Önde vektörel i̇ti̇ci̇li̇ su alti araci si̇stemi̇,2025-06-25,2025,Anonim
ROKETSAN,TR2023017736A1,Güveni̇li̇r gömülü yazilim dağitim si̇stemi̇ ve yöntemi̇,2023-12-20,2023,Anonim
ROKETSAN,TR2025008997A2,Reçi̇ne emdi̇ri̇lmi̇ş kirpilmiş elyaf üreti̇m metodu,2025-07-03,2025,Anonim
ROKETSAN,TR2021013781U4,Mekani̇k durdurucuya sahi̇p esnek civata,2021-09-02,2021,Anonim
ROKETSAN,TR2025013192A2,Akımsız kaplama ile kompozit nikel esaslı vakum sert lehimleme alaşım tozu …,2025-09-12,2025,Anonim
ROKETSAN,TR201312579U,Dik atışlı fırlatma sistemleri için açılır kapanır deflektör.,2013-10-31,2013,A
ROKETSAN,TR2025002787A2,Patarnatör ve ölçüm yöntemi̇,2025-03-07,2025,Anonim
ROKETSAN,TR2021011311U5,Kani̇ster ki̇li̇t bütünü,2021-07-12,2021,Anonim
ROKETSAN,TR201914768A2,Firlatma araci i̇çi̇n ti̇treşi̇m i̇zolatörü,2019-09-27,2019,A
ROKETSAN,TR201916540A2,Kati yakitli roket i̇çi̇n epdm matri̇sli̇ ablati̇f termal yalitim malzemesi̇ ve …,2019-10-25,2019,A
ROKETSAN,TR2021005283U4,Yay ve pi̇n i̇le atermal pri̇zma yerleşi̇mi̇,2021-03-23,2021,Anonim
ROKETSAN,TR2025000110A2,Yapisal parçalarda kullanilmak üzere elektroşeki̇llendi̇rme yöntemi̇ i̇le bi̇r …,2025-01-06,2025,Anonim
ROKETSAN,TR2025000418A1,"Mühi̇mmat yükleme, ki̇li̇tleme ve kurma mekani̇zmasi",2025-01-15,2025,Anonim
ROKETSAN,TR202012403A1,Torpi̇do karşi tedbi̇r aği ve ağ yerleşti̇rme si̇stemi̇,2020-08-07,2020,Anonim
ROKETSAN,TR2021017258A2,Li̇tyum bor alaşimi granülleri̇nden bi̇r i̇nce tablet üreti̇m yöntemi̇,2021-11-05,2021,Anonim
ROKETSAN,TR2025010851A2,Sivi yakitli roket motorlarinda patlama di̇skli̇ türbi̇n gi̇ri̇ş gövdesi̇,2025-08-04,2025,Anonim
ROKETSAN,TR202011851A1,Kapali ortam kontrollü isitma test ci̇hazi,2020-07-27,2020,Anonim
ROKETSAN,TR2021019528A2,Sönümleyi̇ci̇ pi̇stonlu opti̇k eki̇pman,2021-12-09,2021,Anonim
ROKETSAN,TR2024017365A1,Bi̇r dönülü hava aliği test düzeneği̇ ve veri̇ saklama si̇stemi̇,2024-12-02,2024,Anonim
ROKETSAN,TR2025012567A2,Telemetre/telemetri̇ çoklu yayin topoloji̇si̇,2025-09-03,2025,Anonim
ROKETSAN,TR201401478A2,Kızıl ötesi arayıcı başlığa sahip füze sistemleri için ısıl hedef sistemi.,2014-02-10,2014,A
ROKETSAN,TR2021004551U4,Esnek civatalar i̇le atermal pri̇zma yerleşi̇mi̇,2021-03-10,2021,Anonim
ROKETSAN,TR201800789A2,Zırh Sistemi,2018-01-19,2018,A
ROKETSAN,TR2021006490U4,Kanat ki̇li̇tleme mekani̇zmasi,2021-04-13,2021,Anonim
ROKETSAN,TR2021021607A2,Hassasi̇yeti̇ azaltilmiş preslenebi̇li̇r patlayici formülasyonu ve bunun üreti̇ …,2021-12-29,2021,Anonim
ROKETSAN,TR201304956A2,İki eksende atış yapabilen 107mm ve 122mm çok namlulu roketatar kundağı.,2013-04-11,2013,A
ROKETSAN,TR2022001289A1,Detonasyon aktarim modülü ve çalişma yöntemi̇,2022-02-01,2022,Anonim
ROKETSAN,TR2024016478A2,Düşük debi̇li̇ ? düşük basinç kayipli ve boğaz profi̇li̇ düzensi̇zli̇ği̇nden …,2024-11-21,2024,Anonim
ROKETSAN,TR2024011335A1,Bi̇r arayici başlik i̇çi̇n kamera kali̇brasyon si̇stemi̇,2024-08-28,2024,Anonim
ROKETSAN,TR2022003476U4,Roket gövdeleri̇ i̇çi̇n tek yönlü basinç dengeleme valfi̇,2022-03-08,2022,Anonim
ROKETSAN,TR2024012598A1,Basinca bağli çoklu bakiş açisi (fov) deği̇şi̇mi̇,2024-09-23,2024,Anonim
ROKETSAN,TR2023015413A1,"Boşluksuz, geri̇ çekmeli̇ kesme pi̇mli̇ kanat ki̇li̇tleme yapilanmasi",2023-11-21,2023,Anonim
ROKETSAN,TR2022006326A1,Ani̇ basinç yükselmesi̇nde atik gaz tahli̇yesi̇ne i̇mkân taniyan tahli̇ye …,2022-04-20,2022,Anonim
ROKETSAN,TR2024015280A2,Piroliz benzininden disiklopentadien üretimi için bir yöntem.,2024-11-06,2024,Anonim
ROKETSAN,TR2024007973A1,Yetki̇nli̇k bazli endüstri̇yel tezgâh çaliştirma ve koruma si̇stemi̇,2024-06-24,2024,Anonim
ROKETSAN,TR2024009250A2,Fpga tabanli hata tespi̇t ve siniflandirma si̇stemi̇ ve yöntemi̇,2024-07-17,2024,Anonim
ROKETSAN,TR2024009412A1,Pan-ti̇lt/gi̇mbal kule hareketi̇yle açilip kapanan opti̇k açiklik koruma si̇ …,2024-07-22,2024,Anonim
ROKETSAN,TR2024006807A1,Gerçek zamanli parça taki̇p si̇stemi̇,2024-05-30,2024,Anonim
