firm_category,firm_name,publication_number,title,filing_date,filing_year,publication_date,priority_date,inventor,assignee_raw
SAVUNMA,TUSAS,TR201106135U,İş parçası ile kalıp arasındaki sürtünmeyi azaltan bir metal şekillendirme …,2011-06-22,2011,2011-09-21,2011-06-22,İlhan,Beydi̇lli̇
SAVUNMA,TUSAS,TR201002787A2,Yeni nesil metalografik parlatma süspansüyonu,2010-04-09,2010,2010-08-23,2010-04-09,Sanayi̇i̇,A.Ş.
SAVUNMA,TUSAS,TR200702825A2,Su kalkanı,2007-04-27,2007,2008-11-21,2007-04-27,Anoni̇m,Şi̇rketi̇
SAVUNMA,TUSAS,TR200806754A2,Gömme bloklu kompozit kemik yapı,2008-09-08,2008,2010-03-22,2008-09-08,Sanayi̇,Aş
SAVUNMA,TUSAS,TR201105976A1,Sac levhalar için vakumlu tutma kalıbı.,2011-06-17,2011,2013-01-21,2011-06-17,Sanayi̇i̇,A.Ş.
SAVUNMA,TUSAS,TR2022020007A1,Bir güç aktarım sistemi.,2022-12-22,2022,2024-07-22,2022-12-22,Anoni̇m,Şi̇rketi̇
SAVUNMA,TUSAS,TR2022018036U4,Bir kapak sistemi.,2022-11-28,2022,2024-06-21,2022-11-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015108U4,Sürükleme azaltıcı plaka içeren bir insansız hava aracı.,2021-09-28,2021,2023-04-24,2021-09-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015080U5,Bir akışkan valf sistemi.,2021-09-27,2021,2023-04-24,2021-09-27,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015111A1,Bir kol dayama düzeneği.,2021-09-28,2021,2023-04-24,2021-09-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015234A2,Bir ayar fletneri kontrolü.,2021-09-29,2021,2023-04-24,2021-09-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015233A1,Bir sabit kanat kontrol mekanizması.,2021-09-29,2021,2023-04-24,2021-09-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR2024012368A2,Bir kelepçe,2024-09-17,2024,2026-03-23,2024-09-17,Anoni̇m,Şi̇rketi̇
SAVUNMA,TUSAS,TR2024012366A1,Bir faydalı yük bırakma mekanizması.,2024-09-17,2024,2026-03-23,2024-09-17,Anoni̇m,Şi̇rketi̇
SAVUNMA,TUSAS,TR2021015231A1,Bir kanat sistemi.,2021-09-29,2021,2023-04-24,2021-09-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR2024008862A1,Bi̇r akti̇vasyon si̇stemi̇,2024-07-09,2024,2026-01-21,2024-07-09,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021015302A1,Bir hizalama sistemi.,2021-09-30,2021,2023-04-24,2021-09-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR201922491U4,Bir dönüştürücü mekanizma ve söz konusu dönüştürücü mekanizmayı içeren bir test …,2019-12-30,2019,2021-07-26,2019-12-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR202009669A1,Gererek şekillendirme sistemi.,2020-06-22,2020,2022-09-21,2020-06-22,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021018347A1,Bir koruyucu yapı.,2021-11-24,2021,2023-06-21,2021-11-24,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021018679U4,Dişli kutuları için bir soğutma tertibatı.,2021-11-29,2021,2023-06-21,2021-11-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021018823U4,Elektronik devreler ve/veya devre elemanları için bir hata önleme sistemi.,2021-11-30,2021,2023-06-21,2021-11-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021019359A1,Bir akışkan tahliye sistemi.,2021-12-08,2021,2023-06-21,2021-12-08,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021020778U5,Şekil hafızalı polimer köpük ve bunu içeren frekans seçici yüzey.,2021-12-23,2021,2023-07-21,2021-12-23,Anonim,Sirketi
SAVUNMA,TUSAS,TR201200104A2,Uçak motor blisk parçalarının pale uçlarının frezeleme veya taşlama işleminin …,2012-03-07,2012,2012-12-21,2012-03-07,Sanayi̇i̇,Aş
SAVUNMA,TUSAS,TR2021021402U4,Hava araçlarında yük taşımaya yönelik bir askı aparatı.,2021-12-28,2021,2023-07-21,2021-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR201308531A2,Gaz türbinli motor.,2013-07-15,2013,2015-01-21,2013-07-15,Anonim,Sirketi
SAVUNMA,TUSAS,TR201308529A2,Bir kanatçık montajı.,2013-07-15,2013,2015-01-21,2013-07-15,Anonim,Sirketi
SAVUNMA,TUSAS,TR201604302A2,Bir çene takımı.,2016-04-04,2016,2017-10-23,2016-04-04,Anonim,Sirketi
SAVUNMA,TUSAS,TR201608868A3,Bir bileşik hava aracı.,2016-06-27,2016,2018-03-21,2016-06-27,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021021536U4,Eğimli firar kenarı içeren bir kanatçık.,2021-12-29,2021,2023-07-21,2021-12-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR2024008634A2,Bir soğutma sistemi.,2024-07-04,2024,2026-01-21,2024-07-04,Anonim,Sirketi
SAVUNMA,TUSAS,TR201612942U,Bir piston.,2016-09-09,2016,2018-03-21,2016-09-09,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021021100A2,Bir kafes yapısı.,2021-12-27,2021,2023-07-21,2021-12-27,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021021194A2,Bir üretim sistemi.,2021-12-27,2021,2023-07-21,2021-12-27,Anonim,Sirketi
SAVUNMA,TUSAS,TR201617245A2,Bir kalıp sistemi.,2016-11-25,2016,2018-06-21,2016-11-25,Anonim,Sirketi
SAVUNMA,TUSAS,TR201617511U,Bir kontrol sistemi.,2016-11-30,2016,2018-06-21,2016-11-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021021414A2,Bir ayarlanabilir iniş takımı.,2021-12-28,2021,2023-07-21,2021-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2021021420A2,Bir ayarlanabilir ekipman montaj sistemi.,2021-12-28,2021,2023-07-21,2021-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2024008274A1,Bir ölçüm sistemi.,2024-06-28,2024,2026-01-21,2024-06-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR2024008277A1,Bir hareket mekanizması.,2024-06-28,2024,2026-01-21,2024-06-28,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201722260A2,Kanat katlama mekanizması.,2017-12-27,2017,2018-01-22,2017-12-27,A,S
SAVUNMA,ROKETSAN,TR202009221A1,Omuzdan atilan mühi̇mmatlarin atici personele olan etki̇si̇ni̇ beli̇rlemeye …,2020-06-15,2020,2021-12-21,2020-06-15,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202008781A2,Bi̇r mi̇nyatür güdümlü füze i̇çi̇n bi̇r kontrol tahri̇k terti̇bati,2020-06-08,2020,2021-12-21,2020-06-08,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202015702A1,Nano boyutta malzemeli yerinde sentezlenen polimetakrilimit (pmı) köpük ve …,2020-10-02,2020,2022-04-21,2020-10-02,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201920968A1,Kani̇ster i̇çi̇ katlanabi̇li̇r füze sabi̇tleme mekani̇zmasi,2019-12-20,2019,2022-02-21,2019-12-20,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202008779A1,Mi̇nyatür lazer güdümlü füze si̇stemleri̇ i̇çi̇n yari akti̇f lazer arayici …,2020-06-08,2020,2021-12-21,2020-06-08,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2022009916A2,Si̇li̇ka/si̇li̇ka serami̇k matri̇sli̇ kompozi̇t malzeme üreti̇mi̇,2022-06-15,2022,2023-12-21,2022-06-15,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201914765A2,Lazer kaynakli bir sualti konum tespi̇t terti̇bati ve metodu,2019-09-27,2019,2021-04-21,2019-09-27,A,S
SAVUNMA,ROKETSAN,TR201910985A2,Kani̇ster kapaği,2019-07-23,2019,2021-02-22,2019-07-23,A,S
SAVUNMA,ROKETSAN,TR202008782A2,Düşük enerji̇li̇ elektroni̇k emni̇yet kurma ve ateşleme si̇stemi̇,2020-06-08,2020,2021-12-21,2020-06-08,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202009215A1,Dağitik sürüler hali̇nde hedefe güdülen mi̇nyatür füze si̇stemi̇,2020-06-15,2020,2022-02-21,2020-06-15,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021014965A2,Su alti si̇stemleri̇ i̇çi̇n çeki̇li̇ haberleşme ve gözlem araci,2021-09-24,2021,2021-10-21,2021-09-24,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202100234A1,Bi̇r göbekbaği konektörü çekme mekani̇zmasi,2021-01-08,2021,2022-07-21,2021-01-08,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202019076A2,Çoklu bakış açıları,2020-11-26,2020,2021-12-21,2020-11-26,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2023006339A1,Dönülü mühi̇mmatlar i̇çi̇n yuvarlanma açisi kesti̇ri̇mi̇ yapabi̇len kizilötesi̇ …,2023-05-31,2023,2024-12-23,2023-05-31,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2023006127A1,Erişim Kısıtı Bulunan Kanister ? Platform Arayüz Bağlantıları İçin Cıvatalı Bir …,2023-05-29,2023,2024-12-23,2023-05-29,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2023004749A2,Tersi̇ne çevri̇lebi̇li̇r bi̇r güvenli̇k ve kurma ci̇hazi,2023-04-28,2023,2024-11-21,2023-04-28,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2022013773A2,Pi̇ezoelektri̇k malzemelerde doğrusal olmayan di̇rengenli̇ği̇ arttiran ti̇treşi …,2022-09-05,2022,2022-10-21,2022-09-05,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2022013399A1,Lazer güdümlü füze si̇stemleri̇nde hedefi̇n sürü hali̇nde i̇mha edi̇lmesi̇ni̇ …,2022-08-26,2022,2024-03-21,2022-08-26,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2022013268A1,Hi̇drofobi̇k pi̇rotekni̇k malzemeler ve bu malzemeleri̇n hazirlama yöntemi̇,2022-08-23,2022,2024-03-21,2022-08-23,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2022013269A1,Mi̇kro kavi̇tasyonlu ventüri̇ ve üreti̇m yöntemi̇,2022-08-23,2022,2024-03-21,2022-08-23,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2022012677A1,Kaba ve hassas ayar yapilabi̇len opti̇k hi̇zalama ve kali̇brasyon eki̇pmani,2022-08-11,2022,2024-02-21,2022-08-11,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2022011757A1,Kuvars sarkaçli i̇vmeölçer plaka bobi̇n komplesi̇ elektri̇ksel deneti̇m aparati,2022-07-25,2022,2024-02-21,2022-07-25,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2022011033A2,Enerji̇k malzemeleri̇n kokri̇stali̇zasyon yöntemi̇,2022-07-04,2022,2022-08-22,2022-07-04,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2022010402A1,Akti̇f zafi̇yet anali̇z si̇stemi̇,2022-06-22,2022,2024-01-22,2022-06-22,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2022009885A1,Uyarlamali yörünge tasarimi i̇le ataletsel navi̇gasyon performansini eni̇yi̇ …,2022-06-14,2022,2023-12-21,2022-06-14,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2021003345A2,Tek eksenli̇ yuvarlanma açi ölçüm ci̇hazi ve yöntemi̇,2021-02-26,2021,2022-09-21,2021-02-26,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202101058A1,Bi̇r pi̇m çekme mekani̇zmasi anahtari,2021-01-25,2021,2022-08-22,2021-01-25,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2024004298A1,Stati̇k ateşleme rampasi i̇çi̇n geli̇şti̇ri̇lmi̇ş hareketli̇ eklemler,2024-04-05,2024,2024-12-23,2024-04-05,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR202019925A2,Çevresel koşullardan enerji̇ hasadi yapabi̇len tapa si̇stemi̇,2020-12-07,2020,2022-06-21,2020-12-07,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202019531A1,Modüler ve yeni̇den uyumlandirilabi̇li̇r bi̇r elektromekani̇k kontrol si̇stemi̇ …,2020-12-02,2020,2022-06-21,2020-12-02,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202019074A2,Üç dalga boyunda çalişan arayici başlik,2020-11-26,2020,2022-02-21,2020-11-26,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202019434A2,Ataletsel ölçüm sistemleri için kauçuk pul şeklinde titreşim sönümleyici …,2020-12-01,2020,2022-06-21,2020-12-01,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202019388A1,Li̇neer hareketli̇ mühi̇mmat taşima askisi,2020-12-01,2020,2022-06-21,2020-12-01,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202019073A1,Ataletsel ölçüm si̇stemleri̇ i̇çi̇n açili ti̇treşi̇m sönümleyi̇ci̇ yerleşi̇mi̇ …,2020-11-26,2020,2022-06-21,2020-11-26,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2023006649A2,Katlanabi̇li̇r kontrol yüzey mekani̇zmasi,2023-06-07,2023,2024-12-23,2023-06-07,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR202010219A1,Di̇k atişli firlatma si̇stemleri̇ i̇çi̇n mekani̇k mekani̇zmali açilir kapanir …,2020-06-29,2020,2022-01-21,2020-06-29,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202016378A2,Başlatici gaz yayi,2020-10-14,2020,2022-04-21,2020-10-14,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202015680A2,Servovalf tork motoru armatür komplesi̇ni̇n doğrulama test düzeneği̇,2020-10-02,2020,2022-04-21,2020-10-02,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202015659A2,Nano ve/veya mi̇kro parçacik i̇çeren reçi̇ne i̇le fi̇laman sargi yöntemi̇ ve bu …,2020-10-01,2020,2022-04-21,2020-10-01,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202014693A2,Ki̇li̇tleme elemani i̇çeren katlanir kanat terti̇batina sahi̇p bi̇r roket,2020-09-16,2020,2022-03-21,2020-09-16,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202013182A2,Dönü yalitimli rulman komplesi̇,2020-08-20,2020,2022-03-21,2020-08-20,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202013188A1,Isitilmiş bi̇r plaka veya deklanşör olmadan tek nokta eşi̇tsi̇zli̇k düzeltmesi̇ …,2020-08-20,2020,2022-03-21,2020-08-20,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202013126A2,Mi̇krodalga alti̇metreli̇ algilayici si̇stemi̇ ve yöntemi̇,2020-08-19,2020,2022-03-21,2020-08-19,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202009608A1,Roket i̇tki̇li̇ mühi̇mmat i̇çi̇n lüle koruma si̇stemi̇,2020-06-20,2020,2022-02-21,2020-06-20,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202010152A2,Elektroni̇k kartlar i̇çi̇n termal karakteri̇zasyon ci̇hazi,2020-06-29,2020,2022-01-21,2020-06-29,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202008783A1,Hi̇bri̇t tehdi̇tler i̇çi̇n lazer güdümlü mi̇nyatür füze si̇stemi̇,2020-06-08,2020,2022-02-21,2020-06-08,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202008784A1,Bombaatardan atilan lazer güdümlü mi̇nyatür füze si̇stemi̇,2020-06-08,2020,2022-02-21,2020-06-08,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202000771A1,Çok namlulu roketatar i̇çi̇n bi̇r firlatma podu ve bunun üreti̇m metodu,2020-01-17,2020,2021-07-26,2020-01-17,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR201921792A1,Kani̇ster - mühi̇mmat arayüzü i̇çi̇n küresel basma yüzeyi̇ne sahi̇p bi̇r civata …,2019-12-26,2019,2022-04-21,2019-12-26,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201920678A2,Bi̇r roket motoru i̇çi̇n i̇tki̇ vektörü kontrol mekani̇zmasi,2019-12-18,2019,2022-02-21,2019-12-18,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025000126A1,Su alti araçlar i̇çi̇n atici platformdan çikiş algilama si̇stemi̇ ve yöntemi̇,2025-01-06,2025,2026-02-23,2025-01-06,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR202020412A2,Kademeli̇ menzi̇l düzelti̇m mekani̇zmasi,2020-12-14,2020,2022-06-21,2020-12-14,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021003338A2,Üç eksenli̇ açi ölçüm ci̇hazi ve yöntemi̇,2021-02-26,2021,2022-09-21,2021-02-26,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021006419A2,Yüksek aşindirici reji̇mde çalişan kati yakitli roket motor gövde yalitimi i̇çi …,2021-04-12,2021,2022-10-21,2021-04-12,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2024004300A2,Bi̇r modüler/taşinabi̇li̇r lüle taşiyici si̇stemi̇,2024-04-05,2024,2025-10-21,2024-04-05,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR201918742A1,Aerodi̇nami̇k isinmaya karşi aşinarak dayanim sağlayan düşük termal i̇letkenli̇ …,2019-11-29,2019,2021-06-21,2019-11-29,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR202100400A1,Çoklu fonksi̇yon kontrolü i̇çi̇n çalişma basinci ayarlanabi̇len hi̇droli̇k si̇ …,2021-01-12,2021,2022-07-21,2021-01-12,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2024006684U4,Şeki̇l hafizali alaşim kullanan tutma pi̇mli̇ ki̇li̇t açma mekani̇zmasi,2024-05-29,2024,2025-12-22,2024-05-29,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2023001752A2,Amfi̇bi̇ torpi̇do kovani,2023-02-15,2023,2024-08-21,2023-02-15,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025014139A2,Füze kontrol tahrik sistemi yüksek sıcaklık bölgelerinin peltier modülleri ile …,2025-09-29,2025,2025-10-21,2025-09-29,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025000419A2,Alev dayanimli dökülebi̇li̇r formda kaplama malzemesi̇,2025-01-15,2025,2025-02-21,2025-01-15,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021020527A1,Yaprak patlayici üreti̇m si̇stemi̇,2021-12-21,2021,2023-07-21,2021-12-21,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025000503A2,Si̇ber i̇sti̇la savici kuantum güvenli̇k bi̇lgi̇sayari si̇stemi̇,2025-01-16,2025,2025-02-21,2025-01-16,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021016086A2,Kati yakitli roket motorlarinin i̇ç çap boşluğundaki̇ çap deği̇şi̇mi̇ i̇çi̇n …,2021-10-15,2021,2023-04-24,2021-10-15,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021015965U5,Isi borulari i̇çi̇n termal karakteri̇zasyon ve test ci̇hazi,2021-10-13,2021,2023-04-24,2021-10-13,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025002303A1,Modüler zirhli kule si̇stemi̇,2025-02-25,2025,2026-03-23,2025-02-25,Anoni̇m,Şi̇rketi̇
SAVUNMA,ROKETSAN,TR2021013890A1,Örgü yapiya sahi̇p gövde ve sensör bloğu i̇çeren ataletsel ölçüm bi̇ri̇mi̇,2021-09-03,2021,2023-03-21,2021-09-03,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025010986A2,Sivi yakitli roket motorlarinda mani̇fold emi̇şli̇ rulman yağlama/soğutma hatti …,2025-08-06,2025,2025-08-21,2025-08-06,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025008472A2,Önde vektörel i̇ti̇ci̇li̇ su alti araci si̇stemi̇,2025-06-25,2025,2025-07-21,2025-06-25,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2023017736A1,Güveni̇li̇r gömülü yazilim dağitim si̇stemi̇ ve yöntemi̇,2023-12-20,2023,2025-06-23,2023-12-20,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025008997A2,Reçi̇ne emdi̇ri̇lmi̇ş kirpilmiş elyaf üreti̇m metodu,2025-07-03,2025,2025-07-21,2025-07-03,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021013781U4,Mekani̇k durdurucuya sahi̇p esnek civata,2021-09-02,2021,2023-02-21,2021-09-02,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025013192A2,Akımsız kaplama ile kompozit nikel esaslı vakum sert lehimleme alaşım tozu …,2025-09-12,2025,2025-09-22,2025-09-12,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201312579U,Dik atışlı fırlatma sistemleri için açılır kapanır deflektör.,2013-10-31,2013,2018-10-22,2013-10-31,A,S
SAVUNMA,ROKETSAN,TR2025002787A2,Patarnatör ve ölçüm yöntemi̇,2025-03-07,2025,2025-04-21,2025-03-07,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021011311U5,Kani̇ster ki̇li̇t bütünü,2021-07-12,2021,2023-01-23,2021-07-12,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201914768A2,Firlatma araci i̇çi̇n ti̇treşi̇m i̇zolatörü,2019-09-27,2019,2021-04-21,2019-09-27,A,S
SAVUNMA,ROKETSAN,TR201916540A2,Kati yakitli roket i̇çi̇n epdm matri̇sli̇ ablati̇f termal yalitim malzemesi̇ ve …,2019-10-25,2019,2021-05-21,2019-10-25,A,S
SAVUNMA,ROKETSAN,TR2021005283U4,Yay ve pi̇n i̇le atermal pri̇zma yerleşi̇mi̇,2021-03-23,2021,2022-10-21,2021-03-23,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025000110A2,Yapisal parçalarda kullanilmak üzere elektroşeki̇llendi̇rme yöntemi̇ i̇le bi̇r …,2025-01-06,2025,2026-01-21,2025-01-06,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025000418A1,"Mühi̇mmat yükleme, ki̇li̇tleme ve kurma mekani̇zmasi",2025-01-15,2025,2026-02-23,2025-01-15,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202012403A1,Torpi̇do karşi tedbi̇r aği ve ağ yerleşti̇rme si̇stemi̇,2020-08-07,2020,2021-12-21,2020-08-07,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021017258A2,Li̇tyum bor alaşimi granülleri̇nden bi̇r i̇nce tablet üreti̇m yöntemi̇,2021-11-05,2021,2023-05-22,2021-11-05,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025010851A2,Sivi yakitli roket motorlarinda patlama di̇skli̇ türbi̇n gi̇ri̇ş gövdesi̇,2025-08-04,2025,2025-09-22,2025-08-04,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR202011851A1,Kapali ortam kontrollü isitma test ci̇hazi,2020-07-27,2020,2022-02-21,2020-07-27,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021019528A2,Sönümleyi̇ci̇ pi̇stonlu opti̇k eki̇pman,2021-12-09,2021,2023-06-21,2021-12-09,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2024017365A1,Bi̇r dönülü hava aliği test düzeneği̇ ve veri̇ saklama si̇stemi̇,2024-12-02,2024,2026-01-21,2024-12-02,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2025012567A2,Telemetre/telemetri̇ çoklu yayin topoloji̇si̇,2025-09-03,2025,2025-11-21,2025-09-03,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201401478A2,Kızıl ötesi arayıcı başlığa sahip füze sistemleri için ısıl hedef sistemi.,2014-02-10,2014,2015-08-21,2014-02-10,A,S
SAVUNMA,ROKETSAN,TR2021004551U4,Esnek civatalar i̇le atermal pri̇zma yerleşi̇mi̇,2021-03-10,2021,2022-09-21,2021-03-10,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201800789A2,Zırh Sistemi,2018-01-19,2018,2019-07-22,2018-01-19,A,S
SAVUNMA,ROKETSAN,TR2021006490U4,Kanat ki̇li̇tleme mekani̇zmasi,2021-04-13,2021,2022-10-21,2021-04-13,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2021021607A2,Hassasi̇yeti̇ azaltilmiş preslenebi̇li̇r patlayici formülasyonu ve bunun üreti̇ …,2021-12-29,2021,2023-07-21,2021-12-29,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR201304956A2,İki eksende atış yapabilen 107mm ve 122mm çok namlulu roketatar kundağı.,2013-04-11,2013,2014-04-21,2013-04-11,A,S
SAVUNMA,ROKETSAN,TR2022001289A1,Detonasyon aktarim modülü ve çalişma yöntemi̇,2022-02-01,2022,2023-08-21,2022-02-01,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2024016478A2,Düşük debi̇li̇ ? düşük basinç kayipli ve boğaz profi̇li̇ düzensi̇zli̇ği̇nden …,2024-11-21,2024,2025-01-21,2024-11-21,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2024011335A1,Bi̇r arayici başlik i̇çi̇n kamera kali̇brasyon si̇stemi̇,2024-08-28,2024,2025-10-21,2024-08-28,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2022003476U4,Roket gövdeleri̇ i̇çi̇n tek yönlü basinç dengeleme valfi̇,2022-03-08,2022,2023-09-21,2022-03-08,Anonim,Sirketi
SAVUNMA,ROKETSAN,TR2024012598A1,Basinca bağli çoklu bakiş açisi (fov) deği̇şi̇mi̇,2024-09-23,2024,2025-09-22,2024-09-23,Anonim,Sirketi
SAVUNMA,HAVELSAN,TR2022002511A2,İnsansiz kara araçlari i̇çi̇n otonom palet gergi̇ mekani̇zmasi ve çalişma …,2022-02-23,2022,2023-05-22,2022-02-23,Anoni̇m,Şi̇rketi̇
SAVUNMA,HAVELSAN,TR201922659A1,5g ve ötesi̇ ağ yapilari i̇çi̇n güvenli̇ bölge opti̇mi̇zasyonu bazli deri̇n …,2019-12-30,2019,2021-07-26,2019-12-30,Anonim,Sirketi
SAVUNMA,HAVELSAN,TR202104311A2,5g ve ötesi̇ ağlarda sanal ağ gömme problemi̇ni̇n çoklu fi̇zi̇ksel ağ yapisini …,2021-03-05,2021,2021-04-21,2021-03-05,Anonim,Sirketi
SAVUNMA,HAVELSAN,TR2023003176A2,Taşinabi̇li̇r ci̇hazlarda açi ölçen sensörleri̇n (imu) yüksekli̇k modeli̇ hari̇ …,2023-03-23,2023,2024-01-22,2023-03-23,Anonim,Sirketi
SAVUNMA,HAVELSAN,TR201812156A2,Plaka tanima si̇stemi̇ kamera görüntüleri̇ kullanilarak ön koltuk yolcu kapasi̇ …,2018-08-27,2018,2018-09-21,2018-08-27,Anonim,Sirketi
