firm_category,firm_name,publication_number,title,filing_date,filing_year,publication_date,priority_date,inventor,assignee_raw
SAVUNMA,ASELSAN,TR202006052A1,Radyometriye dayalı kızılötesi imge görselleştirme yöntemi,2020-04-16,2020,2021-10-21,2020-04-16,A,S
SAVUNMA,ASELSAN,TR202007583A2,Çoklu sivi dolaşim kanallarina sahi̇p soğutma plakasi,2020-05-14,2020,2021-11-22,2020-05-14,A,S
SAVUNMA,ASELSAN,TR202008446A1,MÜHİMMAT YÜKLEME SİSTEMİ ve YÖNTEMİ,2020-06-01,2020,2021-12-21,2020-06-01,A,S
SAVUNMA,ASELSAN,TR202006905A1,Çi̇ft eği̇k polari̇ze anten elemani,2020-05-04,2020,2021-11-22,2020-05-04,A,S
SAVUNMA,ASELSAN,TR202101270A2,ELEKTROMANYETİK GİRİŞİM (EMI) ve ELEKTROMANYETİK UYUMLULUK (EMC) GEÇİŞ PANELİ,2021-01-27,2021,2022-08-22,2021-01-27,A,S
SAVUNMA,ASELSAN,TR202002921A2,Yüksek Çözünürlüklü Geri Beslemeli Tam Sayısal DGM Sinyali Üretim Yöntemi,2020-02-26,2020,2021-09-21,2020-02-26,A,S
SAVUNMA,ASELSAN,TR202015051A1,Farklı silah türlerinin aynı şaseye montaj edilmesini sağlayan bir arayüz …,2020-09-22,2020,2022-04-21,2020-09-22,A,S
SAVUNMA,ASELSAN,TR201905460A1,Çok Görevli Öğrenme Temelli Çok Katmanlı Algılayıcı ve SMOTE Aşırı Örneklemesi …,2019-04-11,2019,2021-12-21,2019-04-11,A,S
SAVUNMA,ASELSAN,TR201906994A1,Atalet ölçüm bi̇ri̇mi̇ (imu) dengeleme ci̇hazi ve yöntemi̇,2019-05-09,2019,2020-11-23,2019-05-09,Anonim,Sirketi
SAVUNMA,ASELSAN,TR202005872A2,Darbeli̇ kizilötesi̇ çakar,2020-04-14,2020,2021-10-21,2020-04-14,A,S
SAVUNMA,ASELSAN,TR201918486A1,Modüler mühi̇mmat beslemeli̇ alttan yüklemeli̇ bi̇r si̇lah si̇stemi̇,2019-11-26,2019,2021-10-21,2019-11-26,A,S
SAVUNMA,ASELSAN,TR202004654A1,Entegre RF güç bölücü içeren huzme şekillendirici faz kaydırıcı,2020-03-25,2020,2021-10-21,2020-03-25,A,S
SAVUNMA,ASELSAN,TR202004723A1,Huzme şekillendirici faz kaydırıcı,2020-03-26,2020,2021-10-21,2020-03-26,A,S
SAVUNMA,ASELSAN,TR202004020A2,Otomatik programlanabilir kablaj tahtası,2020-03-16,2020,2021-09-21,2020-03-16,A,S
SAVUNMA,ASELSAN,TR202005647U5,Bi̇r defi̇bri̇latör muhafazasi,2020-04-09,2020,2021-10-21,2020-04-09,A,S
SAVUNMA,ASELSAN,TR202001620A2,Yüz tanima i̇çi̇n uygun yüz seçi̇mi̇ yöntemi̇,2020-02-04,2020,2021-08-23,2020-02-04,A,S
SAVUNMA,ASELSAN,TR2024009706A1,Römorklara yöneli̇k yüksek çekme kuvveti̇ne ve uzun halat deplasmanina sahi̇p …,2024-07-26,2024,2026-02-23,2024-07-26,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202019842U4,Pnömati̇k oransal valflerde kontrolü sağlayan bi̇r yaprak yay,2020-12-07,2020,2022-06-21,2020-12-07,A,S
SAVUNMA,ASELSAN,TR2024003257A1,Veri̇ eti̇ketleri̇ni̇n veri̇ artirma yöntemi̇ne göre adapti̇f bi̇r şeki̇lde …,2024-03-18,2024,2025-09-22,2024-03-18,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR199801503A2,Bir taktik kamyon ve bir römorktan olusan; seri sekilde kurulup toplanmaya …,1998-08-04,1998,2000-03-21,1998-08-04,Sanayi̇,A.Ş.
SAVUNMA,ASELSAN,TR2022013742A1,Hi̇zalama tekrarlanabi̇li̇rli̇ği̇ni̇ arttiran bi̇r döndürme mekani̇zmasi ve bi̇ …,2022-09-02,2022,2024-03-21,2022-09-02,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2024004036U5,Bi̇r taşima aparati,2024-04-01,2024,2025-10-21,2024-04-01,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2021022294A2,Geli̇şi̇m modlu (g-modlu) bi̇r yemt aygit fabri̇kasyon yöntemi̇,2021-12-31,2021,2022-02-21,2021-12-31,A,S
SAVUNMA,ASELSAN,TR202100178A1,Model tabanli haberleşme ara katmani oluşturulmasi i̇çi̇n bi̇r yöntem,2021-01-07,2021,2022-07-21,2021-01-07,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2021004336U4,Yüksek veri̇mli̇ i̇nce fi̇lm tabanli f-sinifi güç kuvvetlendi̇ri̇ci̇si̇,2021-03-05,2021,2022-09-21,2021-03-05,Anonim,Sirketi
SAVUNMA,ASELSAN,TR2021004024U4,Bi̇r güvenli̇k ci̇hazi,2021-03-01,2021,2022-09-21,2021-03-01,Anonim,Sirketi
SAVUNMA,ASELSAN,TR2021004021A1,Tekil parçacık etkinlik testi sabotu,2021-03-01,2021,2022-09-21,2021-03-01,Anonim,Sirketi
SAVUNMA,ASELSAN,TR200900285A2,Şok alma mekanizması.,2009-01-14,2009,2010-08-23,2009-01-14,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2021002091A1,Vakum Kabı için Döner Vakum Kapağı,2021-02-15,2021,2022-08-22,2021-02-15,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2024017923A1,Yapisal si̇metri̇ temelli̇ düşük görünürlüklü bi̇r anten,2024-12-06,2024,2025-09-22,2024-12-06,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR200103468T2,Elektrikli diziler için alternatif akım motor sürücüsü.,1999-05-31,1999,2002-04-22,1999-05-31,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR200910004U,Bir lazer hedef işaretleme cihazı.,2009-12-30,2009,2010-11-22,2009-12-30,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR202100620A1,Firlaticilarda kullanilmaya uygun olan bi̇r namlu,2021-01-15,2021,2022-07-21,2021-01-15,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202100616U4,Takograf cihazı için bir yazıcı kilit mekanizması,2021-01-15,2021,2022-07-21,2021-01-15,A,S
SAVUNMA,ASELSAN,TR201200119U,Nişangahlar için bir ayar takımı.,2012-01-04,2012,2012-11-21,2012-01-04,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR201918690A1,Bi̇r merdi̇ven geometri̇k şeki̇lli̇ kapi fabri̇kasyon yöntemi̇,2019-11-28,2019,2021-06-21,2019-11-28,A,S
SAVUNMA,ASELSAN,TR2021001974A1,Hareket mekani̇zmali tank gövde etek zirh taşiyici,2021-02-11,2021,2022-08-22,2021-02-11,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2023000257A1,Si̇li̇ndi̇r gövdelere yöneli̇k bi̇r test düzeneği̇,2023-01-09,2023,2024-07-22,2023-01-09,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR199800950A2,X ilk kosullu artan/azalan örüntü eleyici yapma rassal sayi üretme metodu.,1998-05-28,1998,1999-12-21,1998-05-28,Sanayi̇,A.Ş.
SAVUNMA,ASELSAN,TR201003109U,Bir gece görüş cihazı.,2010-04-20,2010,2010-07-21,2010-04-20,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201113330U,Bir boreskop kamera.,2011-12-30,2011,2012-03-21,2011-12-30,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR200806810U,Bir radyo frekansı karıştırma/köreltme komplesi,2008-09-09,2008,2010-04-21,2008-09-09,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202021690A1,Çöküşten kurtarma semanti̇kli̇ tek yönlü asenkron i̇leti̇şi̇m si̇stemi̇ ve …,2020-12-25,2020,2022-07-21,2020-12-25,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202021718A1,İndi̇s modülasyonunu kullanarak ofdm tabanli si̇stemlerde ön kontrol bi̇lgi̇si̇ …,2020-12-25,2020,2022-07-21,2020-12-25,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201200061U,Nişangâhlar için balistik ayar takımı.,2012-01-03,2012,2012-06-21,2012-01-03,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR201010492A2,Bir makineli tüfek tareti.,2010-12-15,2010,2012-07-23,2010-12-15,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR200708506A2,Bir trafik akış kontrol sistemi.,2007-12-07,2007,2009-06-22,2007-12-07,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202021064U4,Bir Görev Bilgisayarı,2020-12-21,2020,2022-07-21,2020-12-21,A,S
SAVUNMA,ASELSAN,TR202020445A1,Giyilebilir bilgisayar montaj yapısı,2020-12-14,2020,2022-06-21,2020-12-14,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201110805U,Yazılım tabanlı bir telsiz.,2011-10-31,2011,2012-03-21,2011-10-31,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR202020453U4,Güçlendirilmiş ve Güvenli Çıkarılabilir Yığınsal Bellek,2020-12-14,2020,2022-06-21,2020-12-14,A,S
